trun,r,c,rr,cc,value,scenario
2023,sewa,uae,dewa,uae,10.342078274910751,D
2023,sewa,uae,fewa,uae,11.36637916898374,D
2023,sewa,uae,omnr,omn,1.5033393693578165,D
2023,fewa,uae,dewa,uae,4.016929652517805,D
2023,fewa,uae,sewa,uae,8.823712200000788,D
2023,qatr,qat,east,ksa,9.608694953892496,D
2023,omnr,omn,sewa,uae,2.389993972283005,D
2024,sout,ksa,west,ksa,34.370514869447156,D
2024,sout,ksa,cent,ksa,8.016787732193535,D
2024,sout,ksa,east,ksa,49.927124073511514,D
2024,west,ksa,sout,ksa,100.6610398237004,D
2024,west,ksa,cent,ksa,4.577394185552808,D
2024,west,ksa,east,ksa,6944.393850192787,D
2024,cent,ksa,sout,ksa,5.607863712283825,D
2024,cent,ksa,west,ksa,20.935829448047226,D
2024,cent,ksa,east,ksa,46.73190290195549,D
2024,east,ksa,sout,ksa,4.625297751658898,D
2024,east,ksa,west,ksa,6928.889643879859,D
2024,east,ksa,cent,ksa,46.23572413303402,D
2024,east,ksa,qatr,qat,1.5550594810953702,D
2024,east,ksa,kuwr,kuw,11.680000000000001,D
2024,east,ksa,bahr,bah,5.3368535288545305,D
2024,adwe,uae,east,ksa,11.679999999416578,D
2024,adwe,uae,dewa,uae,62.51959617426243,D
2024,adwe,uae,sewa,uae,44.26722028144468,D
2024,dewa,uae,adwe,uae,41.29352363447155,D
2024,dewa,uae,sewa,uae,9.620820009853343,D
2024,dewa,uae,fewa,uae,8.30666029305957,D
2024,sewa,uae,adwe,uae,26.300924990152623,D
2024,sewa,uae,dewa,uae,10.189216331882932,D
2024,sewa,uae,fewa,uae,10.834092601641332,D
2024,sewa,uae,omnr,omn,0.925452558261723,D
2024,fewa,uae,dewa,uae,2.8218274876923677,D
2024,fewa,uae,sewa,uae,7.223931599300573,D
2024,qatr,qat,east,ksa,9.942536814587022,D
2024,bahr,bah,east,ksa,0.40807993713464663,D
2024,omnr,omn,sewa,uae,2.967880775361671,D
2025,sout,ksa,west,ksa,41.62500213229768,D
2025,sout,ksa,cent,ksa,10.249860975409499,D
2025,sout,ksa,east,ksa,57.40083325317476,D
2025,west,ksa,sout,ksa,110.80385544071596,D
2025,west,ksa,cent,ksa,4.734570742330303,D
2025,west,ksa,east,ksa,7134.352114063996,D
2025,cent,ksa,sout,ksa,7.855075217325846,D
2025,cent,ksa,west,ksa,20.76251624451333,D
2025,cent,ksa,east,ksa,53.8805592240435,D
2025,east,ksa,sout,ksa,11.081362720140037,D
2025,east,ksa,west,ksa,7136.798330072215,D
2025,east,ksa,cent,ksa,48.103723299282635,D
2025,east,ksa,qatr,qat,1.4938650356785017,D
2025,east,ksa,kuwr,kuw,11.67999999999392,D
2025,east,ksa,bahr,bah,5.145366610049658,D
2025,adwe,uae,east,ksa,11.680000000213742,D
2025,adwe,uae,dewa,uae,61.17068424151156,D
2025,adwe,uae,sewa,uae,45.220519127949714,D
2025,dewa,uae,adwe,uae,39.87508609539136,D
2025,dewa,uae,sewa,uae,8.751483576432058,D
2025,dewa,uae,fewa,uae,8.404197075928488,D
2025,sewa,uae,adwe,uae,25.64442518519086,D
2025,sewa,uae,dewa,uae,11.935272151003476,D
2025,sewa,uae,fewa,uae,12.582081744644432,D
2025,sewa,uae,omnr,omn,0.7136272064562053,D
2025,fewa,uae,dewa,uae,2.3114304611539236,D
2025,fewa,uae,sewa,uae,4.718060974812716,D
2025,qatr,qat,east,ksa,9.961115037973931,D
2025,bahr,bah,east,ksa,0.5795410368516023,D
2025,omnr,omn,sewa,uae,3.1065495165682226,D
2026,sout,ksa,west,ksa,8.934353314650457,D
2026,sout,ksa,cent,ksa,7.252610891321414,D
2026,sout,ksa,east,ksa,34.19784221889204,D
2026,west,ksa,sout,ksa,61.13189971463576,D
2026,west,ksa,cent,ksa,9.333479265052672,D
2026,west,ksa,east,ksa,7564.322063329559,D
2026,cent,ksa,sout,ksa,6.60306699786898,D
2026,cent,ksa,west,ksa,9.884540282112274,D
2026,cent,ksa,east,ksa,34.56006565457461,D
2026,east,ksa,sout,ksa,8.631332163043522,D
2026,east,ksa,west,ksa,7579.4630525610255,D
2026,east,ksa,cent,ksa,22.206173945526775,D
2026,east,ksa,adwe,uae,0.04884496098771275,D
2026,east,ksa,qatr,qat,1.4231906279887758,D
2026,east,ksa,kuwr,kuw,11.680000008628188,D
2026,east,ksa,bahr,bah,3.485558086984677,D
2026,adwe,uae,east,ksa,11.631155039004279,D
2026,adwe,uae,dewa,uae,65.09553790951783,D
2026,adwe,uae,sewa,uae,41.88279203197515,D
2026,dewa,uae,adwe,uae,37.45490018467906,D
2026,dewa,uae,sewa,uae,11.958473814591947,D
2026,dewa,uae,fewa,uae,8.737456666218783,D
2026,sewa,uae,adwe,uae,27.945766916579174,D
2026,sewa,uae,dewa,uae,9.801194237123978,D
2026,sewa,uae,fewa,uae,13.482262875185477,D
2026,sewa,uae,omnr,omn,0.7536936225665598,D
2026,fewa,uae,dewa,uae,2.0881301520244526,D
2026,fewa,uae,sewa,uae,5.856952714430578,D
2026,qatr,qat,east,ksa,9.970213312396826,D
2026,bahr,bah,east,ksa,2.11796057939002,D
2026,omnr,omn,sewa,uae,3.139639710750654,D
2027,sout,ksa,west,ksa,13.59738250690148,D
2027,sout,ksa,cent,ksa,17.589801116845194,D
2027,sout,ksa,east,ksa,70.66426164342897,D
2027,west,ksa,sout,ksa,90.09176307886116,D
2027,west,ksa,cent,ksa,17.066445946078975,D
2027,west,ksa,east,ksa,7850.939316944085,D
2027,cent,ksa,sout,ksa,16.388006661083637,D
2027,cent,ksa,west,ksa,14.948192120652777,D
2027,cent,ksa,east,ksa,50.37070008665776,D
