c,trun,ELp,value,scenario
kuw,2023,CoalSteam,4.591612405217078,E
kuw,2024,CoalSteam,0.6225975606338999,E
kuw,2025,CoalSteam,0.6225974609111757,E
kuw,2026,CoalSteam,0.6261067828463767,E
kuw,2027,CoalSteam,0.7117083979180568,E
kuw,2028,CoalSteam,0.7117083007871621,E
kuw,2029,CoalSteam,0.8006704052299357,E
kuw,2030,CoalSteam,0.75211006844264,E
bah,2022,CC,0.6224791824275008,E
bah,2023,CC,0.11693091191337988,E
bah,2024,CC,0.11519895631008623,E
bah,2025,CC,0.16833393228924082,E
bah,2026,CC,0.09131076194244513,E
bah,2027,CC,0.1303686974809926,E
bah,2028,CC,0.09670051336398411,E
bah,2029,CC,0.11157596002697052,E
bah,2030,CC,0.09899793787264367,E
omn,2016,CC,0.121,E
omn,2019,CC,3.269,E
omn,2021,GT,0.9161635047155442,E
omn,2021,CC,0.5,E
omn,2021,PV,4.773448252655661,E
omn,2022,CC,2.3589610214820285,E
omn,2022,PV,0.041197702015110416,E
omn,2023,CoalSteam,4.234591930357397,E
omn,2024,CoalSteam,0.15183176186663724,E
omn,2025,CoalSteam,0.1820355734576454,E
omn,2026,CoalSteam,0.15181782613335318,E
omn,2027,CoalSteam,0.2853670260630358,E
omn,2028,CoalSteam,0.3301928647578194,E
omn,2029,CoalSteam,0.2857278154824983,E
omn,2030,CoalSteam,0.3088078377922908,E
ksa,2016,Steam,4.38,F
ksa,2016,GT,0.357,F
ksa,2016,CC,3.927,F
ksa,2017,Steam,3.64,F
ksa,2017,GT,0.141,F
ksa,2017,Wind,0.003,F
ksa,2018,Steam,0.392,F
ksa,2018,GT,0.754,F
ksa,2018,CC,2.06,F
ksa,2019,GT,8.633385197748899,F
ksa,2019,CC,1.504,F
ksa,2019,PV,0.31,F
ksa,2020,CC,7.02,F
ksa,2020,GTtoCC,3.586,F
ksa,2020,CSP,0.18,F
ksa,2021,CC,5.4,F
ksa,2021,PV,22.177307218892537,F
ksa,2022,CC,1.2668539553822564,F
ksa,2023,CC,2.068113191072142,F
ksa,2024,CC,2.7683110719970205,F
ksa,2025,CC,3.886156830018894,F
ksa,2026,CC,5.405390530977523,F
ksa,2027,CC,5.541130800889097,F
ksa,2028,CC,4.585466443067262,F
ksa,2029,CC,3.768166905150361,F
ksa,2030,CC,3.912151300397608,F
uae,2016,CC,0.34,F
uae,2017,GT,0.3747775174502351,F
uae,2017,PV,0.2,F
uae,2018,GT,1.0690318174867444,F
uae,2018,CC,1.24,F
uae,2018,PV,0.2,F
uae,2019,GT,0.887542153139145,F
uae,2020,GT,0.7217657683723289,F
uae,2020,GTtoCC,0.0703,F
uae,2020,Nuclear,5.6,F
uae,2020,PV,1.7770000000000001,F
uae,2021,Steam,0.8280784306285673,F
uae,2021,CoalSteam,1.8,F
uae,2021,PV,14.884460637363476,F
uae,2022,CC,9.641694899407346,F
uae,2022,PV,0.15,F
uae,2023,CC,2.3453679309280036,F
uae,2023,CoalSteam,2.4,F
uae,2024,CC,0.8255796192533669,F
uae,2025,CC,0.9767334681694197,F
uae,2026,CC,1.2539973915696234,F
uae,2027,CC,0.9998063682090634,F
uae,2028,CC,0.8528466937009153,F
uae,2029,CC,0.9252167926850625,F
uae,2030,CC,1.0750510484137155,F
qat,2016,GT,0.0770041077608222,F
qat,2019,GT,2.0606094652084903,F
qat,2020,GT,0.42342009075542064,F
qat,2020,GTtoCC,0.08750000000000001,F
qat,2021,Steam,1.8943723918782585,F
qat,2021,PV,7.292197555614999,F
qat,2022,CC,0.3792858996534835,F
qat,2023,CC,0.012945573409294645,F
qat,2024,CC,1.0490379679396296,F
qat,2025,CC,0.5309914121208762,F
qat,2026,CC,0.4921728411725172,F
qat,2027,CC,0.36714845950302066,F
qat,2028,CC,0.7001910944060009,F
qat,2029,CC,0.2989516759417788,F
qat,2030,CC,0.2994866535274535,F
kuw,2019,GT,2.2631022146154294,F
kuw,2020,GT,0.622377606706784,F
kuw,2021,PV,12.061462629426396,F
kuw,2022,CC,8.630021175075855,F
kuw,2023,CC,0.5697206528562527,F
kuw,2024,CC,0.8314863429764849,F
kuw,2025,CC,0.5818554861788388,F
kuw,2026,Nuclear,0.598769874068971,F
kuw,2026,PV,2.02987709955592,F
kuw,2027,Nuclear,0.8806026988001813,F
kuw,2028,Nuclear,1.0399374416287688,F
kuw,2029,Nuclear,1.3583612132530454,F
kuw,2030,Nuclear,1.3396131171845025,F
bah,2022,CC,0.7341990249434941,F
bah,2023,CC,0.11693091191397079,F
bah,2024,CC,0.11519895631010324,F
bah,2025,CC,0.168333932283451,F
bah,2026,CC,0.09131076194821203,F
bah,2027,CC,0.13036869748098237,F
bah,2028,CC,0.09670051336360498,F
bah,2029,CC,0.11157596002737115,F
bah,2030,CC,0.09899793787823452,F
omn,2016,CC,0.121,F
omn,2019,CC,3.269,F
omn,2021,GT,0.9926738961462733,F
omn,2021,CC,0.5,F
omn,2021,PV,5.172087133603458,F
omn,2022,CC,2.3184268431809,F
omn,2022,PV,0.04654868688466696,F
omn,2023,CoalSteam,1.532209202440512,F
omn,2023,PV,0.04590315909400555,F
omn,2024,GT,0.005488107595280309,F
omn,2024,PV,0.07578315089917709,F
omn,2025,Nuclear,0.9384706829067587,F
omn,2025,PV,0.046806036456276345,F
omn,2026,Nuclear,0.451285804332126,F
omn,2027,Nuclear,0.8849487296751184,F
omn,2028,Nuclear,0.5153794474939454,F
omn,2029,Nuclear,0.37175140242976845,F
omn,2030,Nuclear,0.43055345921044313,F
ksa,2016,Steam,4.38,G
ksa,2016,GT,0.357,G
ksa,2016,CC,3.927,G
ksa,2017,Steam,3.64,G
ksa,2017,GT,0.141,G
ksa,2017,Wind,0.003,G
ksa,2018,Steam,0.392,G
ksa,2018,GT,0.754,G
ksa,2018,CC,2.06,G
ksa,2019,GT,8.633385200141994,G
ksa,2019,CC,1.504,G
ksa,2019,PV,0.31,G
ksa,2020,CC,7.02,G
ksa,2020,GTtoCC,3.586,G
ksa,2020,CSP,0.18,G
ksa,2021,CC,5.4,G
