trun,c,ELp,value,scenario
2026,omn,Cogen,11.898130339805201,A
2026,omn,CCGT,40.18766456981952,A
2027,ksa,Steam,221.33039763704755,A
2027,ksa,GT,54.08717613551921,A
2027,ksa,PV,0.037595334758024034,A
2027,ksa,Cogen,72.2873612692615,A
2027,ksa,CCGT,278.83876126285253,A
2027,uae,Steam,2.8271870860661175e-06,A
2027,uae,Stscrub,2.0971217314146556e-06,A
2027,uae,GT,15.596224584058344,A
2027,uae,CoalSteam,29.98722873367902,A
2027,uae,Nuclear,42.18816186748091,A
2027,uae,PV,0.024869489401195193,A
2027,uae,CSP,0.14788317476519924,A
2027,uae,Wind,2.5571173840134018e-06,A
2027,uae,Cogen,97.80960136579193,A
2027,uae,CCGT,22.469379517127404,A
2027,qat,Steam,0.6410205826838332,A
2027,qat,GT,1.3768684077761313,A
2027,qat,Cogen,48.27373199999999,A
2027,qat,CCGT,19.471355938280816,A
2027,kuw,Cogen,119.08171521929138,A
2027,bah,Steam,8.171989498978945,A
2027,bah,GT,2.3518181992465217,A
2027,bah,Cogen,0.7883999999999998,A
2027,bah,CCGT,15.04004399999999,A
2027,omn,Cogen,13.636653331722924,A
2027,omn,CCGT,40.365854140264446,A
2028,ksa,Steam,216.64799963620857,A
2028,ksa,GT,50.55284925539583,A
2028,ksa,PV,0.03726280847432914,A
2028,ksa,Cogen,73.09581572084006,A
2028,ksa,CCGT,321.37549641303434,A
2028,uae,Steam,2.0324955537687804e-07,A
2028,uae,GT,14.769236176422917,A
2028,uae,CoalSteam,29.91434565044047,A
2028,uae,Nuclear,42.18816000016703,A
2028,uae,PV,0.02464168064813966,A
2028,uae,CSP,0.14788421404796176,A
2028,uae,Cogen,102.81840442673105,A
2028,uae,CCGT,24.50888832754731,A
2028,qat,Steam,0.6374385169032641,A
2028,qat,GT,1.3365025083042534,A
2028,qat,Cogen,48.27373200000001,A
2028,qat,CCGT,22.185176697638763,A
2028,kuw,Cogen,124.53265496891771,A
2028,bah,Steam,8.297646743921355,A
2028,bah,GT,2.6765458271924523,A
2028,bah,Cogen,0.7883999999999672,A
2028,bah,CCGT,15.711070907517714,A
2028,omn,Cogen,15.664930155626955,A
2028,omn,CCGT,40.57374197244987,A
2029,ksa,Steam,216.14861541778623,A
2029,ksa,GT,49.306201492098864,A
2029,ksa,PV,0.03693324576934459,A
2029,ksa,Cogen,73.90427077598032,A
2029,ksa,CCGT,352.23394929803663,A
2029,uae,Steam,2.041204767574634e-07,A
2029,uae,GT,14.16326322617813,A
2029,uae,CoalSteam,30.274327412113827,A
2029,uae,Nuclear,42.18815999943581,A
2029,uae,PV,0.024419904764042547,A
2029,uae,CSP,0.14782287232244679,A
2029,uae,Cogen,106.68919412691477,A
2029,uae,CCGT,27.936730832327893,A
2029,qat,Steam,0.6277197183957715,A
2029,qat,GT,1.296779845902755,A
2029,qat,Cogen,48.27373199999999,A
2029,qat,CCGT,25.331236649867847,A
2029,kuw,Cogen,130.66496218724518,A
2029,bah,Steam,8.233495370490012,A
2029,bah,GT,2.772136749592233,A
2029,bah,Cogen,0.7883999999999992,A
2029,bah,CCGT,16.640841456038594,A
2029,omn,Cogen,17.40345314754468,A
2029,omn,CCGT,40.75193154289447,A
2030,ksa,Steam,217.89852026355015,A
2030,ksa,GT,46.72922202757652,A
2030,ksa,PV,0.036606620117009395,A
2030,ksa,Cogen,74.54520885928683,A
2030,ksa,CCGT,383.5109792750754,A
2030,uae,GT,13.617929665909784,A
2030,uae,CoalSteam,30.203590110105427,A
2030,uae,Nuclear,42.18815999948056,A
