trun,c,cc,value,scenario
2030,omn,uae,3.012412922718384,C
2019,ksa,uae,1.9825768371447723,D
2019,ksa,qat,1.2728672457928172,D
2019,ksa,kuw,11.595901080822365,D
2019,ksa,bah,5.840000000000093,D
2019,uae,ksa,0.9374777821567624,D
2019,uae,omn,0.23658439180353127,D
2019,qat,ksa,6.463238965513271,D
2019,omn,uae,3.656748941527191,D
2020,ksa,uae,7.919193304063355,D
2020,ksa,qat,2.092970437888567,D
2020,ksa,kuw,11.461921663483412,D
2020,ksa,bah,5.83999999999653,D
2020,uae,ksa,3.72271244699217,D
2020,uae,omn,0.3584962619864203,D
2020,qat,ksa,9.302364973087299,D
2020,kuw,ksa,0.21546628513494517,D
2020,omn,uae,3.4403803741651973,D
2021,ksa,uae,3.63728888607278,D
2021,ksa,qat,2.2532291606151733,D
2021,ksa,kuw,11.679999999832535,D
2021,ksa,bah,5.839999999832536,D
2021,uae,ksa,8.031336210525733,D
2021,uae,omn,2.81600562232378,D
2021,qat,ksa,9.291028957830877,D
2021,omn,uae,1.0773277109820658,D
2022,ksa,uae,1.4370276395932002,D
2022,ksa,qat,1.9624425859500751,D
2022,ksa,kuw,11.67999999974734,D
2022,ksa,bah,5.839999999774943,D
2022,uae,ksa,10.225012242916563,D
2022,uae,omn,2.890666666478339,D
2022,qat,ksa,9.28651818458914,D
2022,omn,uae,1.0026666667514417,D
2023,ksa,uae,1.0063585911380497,D
2023,ksa,qat,1.7991566918473119,D
2023,ksa,kuw,11.679999999972173,D
2023,ksa,bah,5.840000000000016,D
2023,uae,ksa,10.062810232084676,D
2023,uae,omn,1.5033393693578165,D
2023,qat,ksa,9.608694953892496,D
2023,omn,uae,2.389993972283005,D
2024,ksa,qat,1.5550594810953702,D
2024,ksa,kuw,11.680000000000001,D
2024,ksa,bah,5.3368535288545305,D
2024,uae,ksa,11.679999999416578,D
2024,uae,omn,0.925452558261723,D
2024,qat,ksa,9.942536814587022,D
2024,bah,ksa,0.40807993713464663,D
2024,omn,uae,2.967880775361671,D
2025,ksa,qat,1.4938650356785017,D
2025,ksa,kuw,11.67999999999392,D
2025,ksa,bah,5.145366610049658,D
2025,uae,ksa,11.680000000213742,D
2025,uae,omn,0.7136272064562053,D
2025,qat,ksa,9.961115037973931,D
2025,bah,ksa,0.5795410368516023,D
2025,omn,uae,3.1065495165682226,D
2026,ksa,uae,0.04884496098771275,D
2026,ksa,qat,1.4231906279887758,D
2026,ksa,kuw,11.680000008628188,D
2026,ksa,bah,3.485558086984677,D
2026,uae,ksa,11.631155039004279,D
2026,uae,omn,0.7536936225665598,D
2026,qat,ksa,9.970213312396826,D
2026,bah,ksa,2.11796057939002,D
2026,omn,uae,3.139639710750654,D
2027,ksa,uae,0.41541936629539766,D
2027,ksa,qat,1.400368690008425,D
2027,ksa,kuw,11.680000000000728,D
2027,ksa,bah,4.211188165574396,D
2027,uae,ksa,11.262847856555236,D
2027,uae,omn,0.5847002445064969,D
2027,qat,ksa,10.038560160767998,D
2027,bah,ksa,1.4762490625428704,D
2027,omn,uae,3.273893411109044,D
2028,ksa,uae,0.8968780835523036,D
2028,ksa,qat,1.3486034694322757,D
2028,ksa,kuw,11.679999999999994,D
2028,ksa,bah,1.1709110233524778,D
2028,uae,ksa,10.724547563049166,D
2028,uae,omn,0.36338196416533713,D
2028,qat,ksa,10.077963716657123,D
2028,bah,ksa,3.869148058567393,D
2028,omn,uae,3.4140647611718786,D
2029,ksa,uae,0.19173229105418055,D
2029,ksa,qat,1.353902390922145,D
2029,ksa,kuw,11.358775314082733,D
2029,uae,ksa,11.464108840017014,D
2029,uae,omn,0.5999732972220796,D
