trun,c,ELp,value,scenario
2028,uae,PV,0.008891141220227373,A
2028,uae,CSP,0.05,A
2028,uae,Cogen,20.57,A
2028,qat,Steam,0.4815937783115709,A
2028,qat,GT,1.6764562512678824,A
2028,qat,CC,5.940015856211041,A
2028,qat,CCcon,0.13125,A
2028,qat,Cogen,7.796,A
2028,kuw,PV,0.008891141220227373,A
2028,kuw,Cogen,30.957667853997435,A
2028,bah,Steam,1.302,A
2028,bah,GT,1.629,A
2028,bah,CC,2.0265550792660174,A
2028,bah,Cogen,0.28200000000000003,A
2028,omn,CC,9.547,A
2028,omn,Cogen,2.466,A
2029,ksa,Steam,33.7512,A
2029,ksa,GT,29.97843960717957,A
2029,ksa,CC,42.334062163938974,A
2029,ksa,CCcon,5.3790000000000004,A
2029,ksa,PV,0.014123352531037959,A
2029,ksa,Cogen,14.741999999999999,A
2029,uae,Steam,9.654429097196055e-08,A
2029,uae,GT,8.190602575912955,A
2029,uae,CC,5.0604565546923155,A
2029,uae,CCcon,0.10545,A
2029,uae,CoalSteam,4.2000004942079,A
2029,uae,Nuclear,5.6,A
2029,uae,PV,0.008811120949245327,A
2029,uae,CSP,0.05,A
2029,uae,Cogen,20.57,A
2029,qat,Steam,0.4815937783115709,A
2029,qat,GT,1.6764562512678824,A
2029,qat,CC,6.662406523678386,A
2029,qat,CCcon,0.13125,A
2029,qat,Cogen,7.796,A
2029,kuw,PV,0.008811120949245327,A
2029,kuw,Cogen,32.139989823694016,A
2029,bah,Steam,1.302,A
2029,bah,GT,1.629,A
2029,bah,CC,2.1464852379896557,A
2029,bah,Cogen,0.28200000000000003,A
2029,omn,CC,9.547,A
2029,omn,Cogen,2.466,A
2030,ksa,Steam,33.7512,A
2030,ksa,GT,29.97843960717957,A
2030,ksa,CC,47.72444831874879,A
2030,ksa,CCcon,5.3790000000000004,A
2030,ksa,PV,0.013998106818497447,A
2030,ksa,Cogen,14.741999999999999,A
2030,uae,Steam,9.654429097196055e-08,A
2030,uae,GT,8.190602575912955,A
2030,uae,CC,5.480379759381977,A
2030,uae,CCcon,0.10545,A
2030,uae,CoalSteam,4.2000004942079,A
2030,uae,Nuclear,5.6,A
2030,uae,PV,0.008731820860702118,A
2030,uae,CSP,0.05,A
2030,uae,Cogen,20.57,A
2030,qat,Steam,0.4815937783115709,A
2030,qat,GT,1.6764562512678824,A
2030,qat,CC,7.384797191145711,A
2030,qat,CCcon,0.13125,A
2030,qat,Cogen,7.796,A
2030,kuw,PV,0.008731820860702118,A
2030,kuw,Cogen,33.32231179338945,A
2030,bah,Steam,1.302,A
2030,bah,GT,1.629,A
2030,bah,CC,2.2864037565006923,A
2030,bah,Cogen,0.28200000000000003,A
2030,omn,CC,9.547,A
2030,omn,Cogen,2.466,A
2015,ksa,Steam,25.339199999999998,B
2015,ksa,GT,35.86,B
2015,ksa,CC,10.04,B
2015,ksa,PV,0.016,B
2015,ksa,Cogen,9.392000000000001,B
2015,uae,GT,5.702999999999999,B
2015,uae,CC,2.38,B
2015,uae,PV,0.01,B
2015,uae,CSP,0.05,B
2015,uae,Cogen,20.57,B
2015,qat,GT,1.2515,B
2015,qat,CC,2.007,B
2015,qat,Cogen,6.184,B
2015,kuw,PV,0.01,B
2015,kuw,Cogen,18.259,B
2015,bah,Steam,1.302,B
2015,bah,GT,1.629,B
2015,bah,CC,1.94,B
2015,bah,Cogen,0.28200000000000003,B
2015,omn,CC,4.957,B
2015,omn,Cogen,2.466,B
2016,ksa,Steam,25.339199999999998,B
2016,ksa,GT,35.619,B
2016,ksa,CC,10.04,B
2016,ksa,PV,0.015858,B
2016,ksa,Cogen,14.692000000000002,B
2016,uae,GT,5.702999999999999,B
2016,uae,CC,2.38,B
2016,uae,PV,0.00991,B
2016,uae,CSP,0.05,B
2016,uae,Cogen,20.57,B
2016,qat,GT,1.3285041077608222,B
2016,qat,CC,2.007,B
2016,qat,Cogen,6.184,B
2016,kuw,PV,0.00991,B
2016,kuw,Cogen,18.259,B
2016,bah,Steam,1.302,B
2016,bah,GT,1.629,B
2016,bah,CC,1.94,B
2016,bah,Cogen,0.28200000000000003,B
2016,omn,CC,4.957,B
2016,omn,Cogen,2.466,B
2017,ksa,Steam,29.719199999999997,B
2017,ksa,GT,35.187,B
2017,ksa,CC,13.966999999999999,B
2017,ksa,PV,0.015717268,B
2017,ksa,Cogen,17.442000000000004,B
2017,uae,GT,6.077777517450235,B
2017,uae,CC,2.7199999999999998,B
2017,uae,PV,0.009820810000000001,B
2017,uae,CSP,0.05,B
2017,uae,Cogen,20.57,B
2017,qat,GT,1.3285041077608222,B
2017,qat,CC,2.007,B
2017,qat,Cogen,7.784,B
2017,kuw,PV,0.009820810000000001,B
2017,kuw,Cogen,18.259,B
2017,bah,Steam,1.302,B
2017,bah,GT,1.629,B
2017,bah,CC,1.94,B
2017,bah,Cogen,0.28200000000000003,B
2017,omn,CC,5.077999999999999,B
2017,omn,Cogen,2.466,B
2018,ksa,Steam,33.3592,B
2018,ksa,GT,34.650999999999996,B
2018,ksa,CC,13.966999999999999,B
2018,ksa,PV,0.015577792638,B
2018,ksa,Cogen,14.741999999999999,B
2018,uae,GT,7.14680933493698,B
2018,uae,CC,2.7199999999999998,B
